clave,valor
mejor_horizonte_mae,5
peor_horizonte_mae,7
mejor_mae,7.1673
mejor_rmse,9.2044
horizonte_mejor_rmse,5
mejora_promedio_pct_vs_naive_semanal,16.72
mejora_promedio_pct_vs_naive_anual,29.9
backtesting_mae_promedio,7.1021
backtesting_mejor_horizonte_mae,5
variable_mas_importante_por_horizonte.1,atenciones_ma3
variable_mas_importante_por_horizonte.2,total_atenciones
variable_mas_importante_por_horizonte.3,atenciones_lag1
variable_mas_importante_por_horizonte.4,total_atenciones
variable_mas_importante_por_horizonte.5,total_atenciones
variable_mas_importante_por_horizonte.6,atenciones_ma3
variable_mas_importante_por_horizonte.7,atenciones_ma3
tiempos_segundos.1_entrenamiento,2414.839
tiempos_segundos.2_carga_modelos,0.558
tiempos_segundos.3_forecast,0.114
tiempos_segundos.tiempo_promedio_por_prediccion,0.016
tiempos_segundos.4_evaluacion,0.29
tiempos_segundos.5_backtesting,3.661
tiempos_segundos.6_graficos,3.888
tiempos_segundos.7_importancia_variables,1.735
tiempos_segundos.total,2425.087
